Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1996,1,29,1,2039,1930,2245,2139,DL,345,N673DL,246,249,230,66,69,ATL,PHX,1587,6,10,0,NA,0,NA,NA,NA,NA,NA
1996,1,30,2,1931,1930,2142,2139,DL,345,N686DA,251,249,224,3,1,ATL,PHX,1587,5,22,0,NA,0,NA,NA,NA,NA,NA
1996,1,31,3,1956,1930,2231,2139,DL,345,N685DA,275,249,241,52,26,ATL,PHX,1587,7,27,0,NA,0,NA,NA,NA,NA,NA
1996,1,1,1,1730,1550,1909,1745,DL,411,N522DA,219,235,201,84,100,ATL,PHX,1587,4,14,0,NA,0,NA,NA,NA,NA,NA
1996,1,2,2,1714,1550,1841,1745,DL,411,N2824W,207,235,195,56,84,ATL,PHX,1587,4,8,0,NA,0,NA,NA,NA,NA,NA
1996,1,3,3,1644,1550,1835,1745,DL,411,N490DA,231,235,212,50,54,ATL,PHX,1587,3,16,0,NA,0,NA,NA,NA,NA,NA
1996,1,4,4,1558,1550,1804,1745,DL,411,N536DA,246,235,226,19,8,ATL,PHX,1587,3,17,0,NA,0,NA,NA,NA,NA,NA
1996,1,5,5,1557,1550,1807,1745,DL,411,N537DA,250,235,224,22,7,ATL,PHX,1587,4,22,0,NA,0,NA,NA,NA,NA,NA
1996,1,6,6,1604,1550,1738,1745,DL,411,N531DA,214,235,206,-7,14,ATL,PHX,1587,2,6,0,NA,0,NA,NA,NA,NA,NA
1996,1,7,7,1743,1550,1933,1745,DL,411,N499DA,230,235,204,108,113,ATL,PHX,1587,5,21,0,NA,0,NA,NA,NA,NA,NA
1996,1,8,1,1646,1550,1827,1745,DL,411,N2814W,221,235,207,42,56,ATL,PHX,1587,3,11,0,NA,0,NA,NA,NA,NA,NA
1996,1,9,2,1610,1550,1752,1745,DL,411,N536DA,222,235,202,7,20,ATL,PHX,1587,5,15,0,NA,0,NA,NA,NA,NA,NA
1996,1,10,3,1559,1550,1747,1745,DL,411,N290WA,228,235,206,2,9,ATL,PHX,1587,2,20,0,NA,0,NA,NA,NA,NA,NA
1996,1,11,4,1635,1550,1818,1745,DL,411,N2814W,223,235,208,33,45,ATL,PHX,1587,3,12,0,NA,0,NA,NA,NA,NA,NA
1996,1,12,5,1640,1550,1800,1745,DL,411,N2815W,200,235,186,15,50,ATL,PHX,1587,6,8,0,NA,0,NA,NA,NA,NA,NA
1996,1,13,6,1555,1550,1746,1745,DL,411,N8875Z,231,235,202,1,5,ATL,PHX,1587,3,26,0,NA,0,NA,NA,NA,NA,NA
1996,1,14,7,1603,1550,1743,1745,DL,411,N539DA,220,235,202,-2,13,ATL,PHX,1587,3,15,0,NA,0,NA,NA,NA,NA,NA
1996,1,15,1,1553,1550,1743,1745,DL,411,N532DA,230,235,201,-2,3,ATL,PHX,1587,2,27,0,NA,0,NA,NA,NA,NA,NA
1996,1,16,2,1550,1550,1736,1745,DL,411,N494DA,226,235,208,-9,0,ATL,PHX,1587,4,14,0,NA,0,NA,NA,NA,NA,NA
1996,1,17,3,1620,1550,1822,1745,DL,411,N409DA,242,235,216,37,30,ATL,PHX,1587,9,17,0,NA,0,NA,NA,NA,NA,NA
1996,1,18,4,1630,1550,1851,1745,DL,411,N543DA,261,235,232,66,40,ATL,PHX,1587,6,23,0,NA,0,NA,NA,NA,NA,NA
1996,1,19,5,1634,1550,1903,1745,DL,411,N518DA,269,235,237,78,44,ATL,PHX,1587,4,28,0,NA,0,NA,NA,NA,NA,NA
1996,1,20,6,1552,1550,1747,1745,DL,411,N2826W,235,235,223,2,2,ATL,PHX,1587,4,8,0,NA,0,NA,NA,NA,NA,NA
1996,1,21,7,1634,1550,1830,1745,DL,411,N521DA,236,235,222,45,44,ATL,PHX,1587,4,10,0,NA,0,NA,NA,NA,NA,NA
1996,1,22,1,1559,1550,1812,1745,DL,411,N538DA,253,235,238,27,9,ATL,PHX,1587,3,12,0,NA,0,NA,NA,NA,NA,NA
1996,1,23,2,1553,1550,1805,1745,DL,411,N537DA,252,235,229,20,3,ATL,PHX,1587,3,20,0,NA,0,NA,NA,NA,NA,NA
1996,1,24,3,1605,1550,1828,1745,DL,411,N533DA,263,235,241,43,15,ATL,PHX,1587,6,16,0,NA,0,NA,NA,NA,NA,NA
1996,1,25,4,1554,1550,1814,1745,DL,411,N526DA,260,235,235,29,4,ATL,PHX,1587,4,21,0,NA,0,NA,NA,NA,NA,NA
1996,1,26,5,1639,1550,1856,1745,DL,411,N546DA,257,235,237,71,49,ATL,PHX,1587,9,11,0,NA,0,NA,NA,NA,NA,NA
1996,1,27,6,1600,1550,1801,1745,DL,411,N537DA,241,235,217,16,10,ATL,PHX,1587,3,21,0,NA,0,NA,NA,NA,NA,NA
1996,1,28,7,1550,1550,1804,1745,DL,411,N520DA,254,235,232,19,0,ATL,PHX,1587,6,16,0,NA,0,NA,NA,NA,NA,NA
1996,1,29,1,1600,1550,1754,1745,DL,411,N290WA,234,235,214,9,10,ATL,PHX,1587,3,17,0,NA,0,NA,NA,NA,NA,NA
1996,1,30,2,1607,1550,1820,1745,DL,411,N528DA,253,235,217,35,17,ATL,PHX,1587,3,33,0,NA,0,NA,NA,NA,NA,NA
1996,1,31,3,1604,1550,1814,1745,DL,411,N536DA,250,235,234,29,14,ATL,PHX,1587,4,12,0,NA,0,NA,NA,NA,NA,NA
1996,1,1,1,1806,1730,2007,1940,DL,689,N604DL,241,250,213,27,36,ATL,PHX,1587,4,24,0,NA,0,NA,NA,NA,NA,NA
1996,1,2,2,1813,1730,2003,1940,DL,689,N631DL,230,250,208,23,43,ATL,PHX,1587,5,17,0,NA,0,NA,NA,NA,NA,NA
